PID,TRIAL,ATTEMPT,NAME,TOOL,"POS X","POS Y",TIME,SUCCESS,SCORE,IMAGE
642,1,1,Introduction1,obj1,367,48,10734,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAyRJREFUeF7tmL8ug2EchY9RSgxSfyYTTZq4CekVMLKziMki6RWYGlMvoJv0CpqO0s0gYXAFmIRYyafEf/o65833fv1OJ8vvafs8PZV0AsAjiMfi6iLax22szK6gNlsjSD7NDEw4SFofhNIF2dwEJieBZhNYWkorRukWsrMDPL58QZ+cAGdnDpKrga0toFJ5ewkHB+mtpDRfWe/X8ZokxZWUJsjndbxGSW0lpQjy3TpSXUkpgvy0jhRXMvZBfltHiisZ+yB/rSO1lYx1kFHWkdpKxjrIqOtIaSXFD3J0BBweDp3u7wO7u89/hqwjpZUUO0i1CqyvD312OkD2Q1W3C9zc5PqLAPPkxQ6yvQ3c3gIzMx8dtNuMk1xvixuk1QLOz7/Ku7gANjaAvb1cxf73yYsbJIuRRfnukcWo1//rJNe74gbJtDUawGAw/N/x8ACcngILC0Cvl6tU5smLHSR758vLwNra0EG/D1xeMj5yvy1+kNwVal+Ag2h90jQHoRVqAQ6i9UnTHIRWqAU4iNYnTXMQWqEW4CBanzTNQWiFWoCDaH3SNAehFWoBDqL1SdMchFaoBTiI1idNcxBaoRbgIFqfNM1BaIVagINofdI0B6EVagEOovVJ0xyEVqgFOIjWJ01zEFqhFuAgWp80zUFohVqAg2h90jQHoRVqAQ6i9UnTHIRWqAU4iNYnTXMQWqEW4CBanzTNQWiFWoCDaH3SNAehFWoBDqL1SdMchFaoBTiI1idNcxBaoRbgIFqfNM1BaIVagINofdI0B6EVagEOovVJ0xyEVqgFOIjWJ01zEFqhFuAgWp80zUFohVqAg2h90jQHoRVqAQ6i9UnTHIRWqAU4iNYnTXMQWqEW4CBanzTNQWiFWoCDaH3SNAehFWoBDqL1SdMchFaoBTiI1idNcxBaoRZAB5mem8bU/BTur+5xd32nfXUlpNFBSugs6lt2kKh6w+EOEu4s6oWDRNUbDneQcGdRLxwkqt5wuIOEO4t64SBR9YbDHSTcWdQLB4mqNxzuIOHOol44SFS94XAHCXcW9cJBouoNhztIuLOoFw4SVW84/Ak4WbYX0wazVQAAAABJRU5ErkJggg=='>"
642,1,2,Introduction1,obj1,349,41,4051,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAwxJREFUeF7tlz1KXFEAhY+9YiEmugB/ELIGRVyBVuICrMTKVViJ1SzALtgLYm1np4WFthkrUWwTHsNAiBNzZLhn7nv5Xn3ePXe+jzPDTEn6qTGexW+L6n3vaXluWStzK2OcxKsNgan/Qcj+/kD2xoa0u1u3+M4LWV2V1tcHEh4fpYsLhEyUwHAdw0vUvpJOL+T3dQyF1L6STgv5cx1tWElnhYxaRxtW0lkhf1tH7SvppJCP1lH7Sjop5F/rqHklnRPirKPmlXROiLuOWlfSKSHNOmZnP/c/tN+XHh4+907JdPuFnJ5Kx8cDRkdH0sFBSV7Fz263kPl5aXt7AOnsTNrbk87Ppaen4uBKFbRbSPOD8fz8/nuq1yvFq/i57RVyciLd3r4HdHcn7exIh4fF4ZUoaK+QRkYjZdTTyFhbK8Gr+JntFdKg2dqSrq8Hvx1vb9LNjbSwIF1eFgdXqqDdQhoqS0vS5uaAz9WVdH9filXk3PYLiWDKlSAkx9pqQoiFKRdCSI611YQQC1MuhJAca6sJIRamXAghOdZWE0IsTLkQQnKsrSaEWJhyIYTkWFtNCLEw5UIIybG2mhBiYcqFEJJjbTUhxMKUCyEkx9pqQoiFKRdCSI611YQQC1MuhJAca6sJIRamXAghOdZWE0IsTLkQQnKsrSaEWJhyIYTkWFtNCLEw5UIIybG2mhBiYcqFEJJjbTUhxMKUCyEkx9pqQoiFKRdCSI611YQQC1MuhJAca6sJIRamXAghOdZWE0IsTLkQQnKsrSaEWJhyIYTkWFtNCLEw5UIIybG2mhBiYcqFEJJjbTUhxMKUCyEkx9pqQoiFKRdCSI611YQQC1MuhJAca6sJIRamXAghOdZWE0IsTLkQQnKsrSaEWJhyIYTkWFtNCLEw5UIIybG2mhBiYcqFxhYy82VG01+n9frjVS/9l9zNO9o0tpCOcpnYx0LIxNCPLkYIQiojUNl1WAhCKiNQ2XVYCEIqI1DZdVgIQiojUNl1WAhCKiNQ2XVYCEIqI1DZdVgIQiojUNl1fgFSBqoXbjTdiQAAAABJRU5ErkJggg=='>"
642,2,1,Introduction1_Alt,obj1,357,44,6130,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAtNJREFUeF7tmL1KI1EARr80NioW4q7aqyD4EuITaKmlEJvFylJELK3ExoCldotPINZ2dlrYC7tW4k+RRrmEgPGHOJOrc+7NF0iXufPNOTkGrEl6Vg+vibkJNf42ND06rZnRmR5O8qWBQK1fhKytSYeH0uqqdHDAld83QlZWpMFB6fFROjqykEoJhDqeX/1hrtW4lfRFIe062t8KciXZC3lbR1sKtZLshbytg15J1kI+q4NcSdZCPquDXEm2QrrVQa0kWyHd6qBWkqWQr9ZBrCRLIV+tg1hJ+kL296Xd3RbbjQ0163/UbBb/x8DAgBTeVb/SFjI2Ji0uthgeH0vLy9LJiXR7WzXX0vdPW0i9Lt3dSSMjnQAajdJAqr4wXSF7e9Ll5Xt+V1fS0pK0vl4121L3T1dIkBGkfPQKMmZnSwGp+qJ0hQRyCwvS+Xnrt+PpSbq4kMbHpdPTqrmWvn/aQsJjT01J8/MtAGdn0vV1aRiEC9MXQqAYcYOFRIQZ4ygLiUEx4hkWEhFmjKMsJAbFiGdYyCuY29vSzU0n3clJaWsrIvEuR1mIhfzct63onVxIUWLf/HkL+WbARY8PQnZ2Oq/a3PRvSFGOWX3eP+ownRZiITACsDkuxEJgBGBzXIiFwAjA5rgQC4ERgM1xIRYCIwCb40IsBEYANseFWAiMAGyOC7EQGAHYHBdiITACsDkuxEJgBGBzXIiFwAjA5rgQC4ERgM1xIRYCIwCb40IsBEYANseFWAiMAGyOC7EQGAHYHBdiITACsDkuxEJgBGBzXIiFwAjA5rgQC4ERgM1xIRYCIwCb40IsBEYANseFWAiMAGyOC7EQGAHYHBdiITACsDkuJDchw7+GNfR7SA//HnT//x72eOnN6bmQ9B6ZvdhCYH4sxEJgBGBzXIiFwAjA5rgQC4ERgM1xIRYCIwCb40IsBEYANseFWAiMAGyOC7EQGAHYnBeAYs0XOcDBYwAAAABJRU5ErkJggg=='>"
642,3,1,Basic,obj1,67,339,8644,1,5,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAArVJREFUeF7tnTFKA0EYhd9eQOz1CBZCirRWop2VIAgpPYRFBuy11jvY2onmAEJSJngCEbyBEbTSJCYz+w95hM965+3j+/JYcYU00+l0Kn5sCDQIsXHxXQQhXj4QYuYDIQhxI2DWh2cIQswImNVhIQgxI2BWh4UgxIyAWR0WghAzAmZ1WAhCzAiY1WEhCDEjYFaHhSDEjIBZHRaCEDMCZnVYCELMCJjVYSEIMSNgVoeFIMSMgFkdFoIQMwJmdVgIQswImNVhIQgxI2BWh4UgxIyAWR0WghAzAmZ1WAhCzAiY1WEhCDEjYFaHhSDEjIBZHRaCEDMCZnVYCELMCJjVYSEIMSNgVoeFIMSMgFkdFoIQMwJmdRYu5OJiedOnJ2kyWX4dV6xOoFgIMlaHnHNlkRBk5CDOuzZbCDLyAOdenSUEGbl486/n1958ZlVPIKQq3vzw9kJubqTTU2lnJ//unJghUC5kPJaur6WXF6nTke7vpfd3ELckUC7k8FB6e5O63Z8Kr6/S42PLOhwvF3J2Jm1t/SZ4ewvRlgTKhezuSh8f0vm5dHcnHR9LDw8t63C8SSkVf8NONyUd7e3pczzW1eXlWmn2+/213j/q5o2kYiFRJSJyNuWbmxAS8WkIzEBIIMyIKIREUAzMQEggzIgohERQDMxASCDMiCiERFAMzEBIIMyIKIREUAzMQEggzIgohERQDMxASCDMiCiERFAMzEBIIMyIKIREUAzM2FghTdNIJ1Kv15vBNRwNNRqOlPaT3F5sbbaQA80F/jx41mA4QEjgsmei/r4x/F4IQmoi/z8bIetjP/fOCEFIFQI81M3+fQghCKmydPEMqcO1OBUhxejqHERIHa7FqQgpRlfnIELqcC1ORUgxujoHEVKHa3HqIiELA7fFX3uLaa9wcK6QJedS8nsf8gVseE3zy7dBvgAAAABJRU5ErkJggg=='>"
642,4,1,FallAlt,obj1,309,344,12737,0,5,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAA1pJREFUeF7tnTtO5EAURa8RCRDAAkCaCRGanIAVgNgBCRK/XUAHBIQT8gnRSJNNAntAQiyAFBYAQogE0SN309MN3bTLpgbfah1niHLV8z1136uyjcmazWZTHDYKZACxYdEKBCBePABixgMgAHFTwCweaghAzBQwCweHAMRMAbNwcAhAzBQwCweHAMRMAbNwcAhAzBQwCweHAMRMAbNwcAhAzBQwCweHAMRMAbNwcAhAzBQwCweHAMRMAbNwcAhAzBQwCweHAMRMAbNwcAhAzBQwCweHAMRMAbNwcAhAzBQwCweHAMRMAbNwLBySZVlLlrr+ILju8XvnRPpADg6ki4v2Nc3PS/v7pec8QN5JVlmQqyspBzIzIz09SRMT0vq6tLhYCkrl8UuNEtY4bYfkIFZXpcnJ9tUeHUnT09LdXdjVv7YCSCyH7Ozkhedtb/nPOZgSB0BiAcn7WViQlpakhwfp8lK6vi6Bot0UIDGBlJa//wSAAOTDaZR2UY/gDlLWABF7U8b4eCSVA7t5fqaG9EnVC2R7O1DJSM0ODwECkCGTyaKGRJrsI9ENQMwwjgSQlRVpdrar7O2tdHZmpnRgOCMBZHNTGhvrXvHLi3R8HKiAWbPkgczNScvL/aqen0s3N2ZqB4STPJBhy+R8SZvakTSQqSlpbe1jyU9PpcfHtJAkDSRkE5maS5IFkj+G39oqnv35o5GUvt0NkGKmX9oCIF8qd/FgFkAajUYr0t3d3eKIX1vETFlVxg8OtGRDCyBVntjlQPL3GYqO+/viGlJl/KJxq/4+WSBVL3jQeQB5p0rdgtQ9fq8cOIS3TvqTRmeG7u3txcxEwX11xq3r3WJbhwQr+J8aAuTfErb99nvdB0AA0jcHrYo6DjH5p2Cdog4QgLyZA9QQagg1ZFhaxCE4BIfgkIClE6usrkjsQ3omDDWEGkINoYZQQwIUoIYMFMmmhmTfM+mHtLGxUYrmZxuf/DqRfn+2l3jnewH5Vu41nBgyNH42pD8xeorTB0AAMniV1UpZOKS273X1UmltDAHSloSURcoiZSWxMSRlkbJaCrDs7fcrRd3xbi8pi5RFyvpgdUHKImV1FaCoU9SH3oW026nHuWdaopcZcbf3nVztGvL6MfwSUo5kUweH/AVJUeLz9ajgkAAAAABJRU5ErkJggg=='>"
642,4,2,FallAlt,obj1,302,355,4847,0,5,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAA1tJREFUeF7tnL1KK0EYht8FEbTRWlByShEbf8DCXhS8Am0EQe/BQgNaWJ5S0fbIsZDTWngBgngBYqUXoGghiJDDJkpiEpMdsyHvyJNOGGe+fZ5595tsokmpVCqJlw2BBCE2LsqFIMTLB0LMfCAEIW4EzOqhhyDEjIBZOSQEIWYEzMohIQgxI2BWDglBiBkBs3JICELMCJiVQ0IQYkbArBwSghAzAmblkBCEmBEwK4eEIMSMgFk5JAQhZgTMyiEhCDEjYFYOCUGIGQGzckgIQswImJVDQhBiRsCsHBKCEDMCZuWQEISYETArxyIhSZKUsfTqD4J7vX7tnohfyP6+dHlZuabxcWlvL3jPI6QO2beBXF9LqZDhYenlRRoYkNbWpLm5ICnfXj9olWyD405IKmJ5WRocrFzt4aE0NCQ9Pma7+vdRCMkrIZubaeP5PFv6cyom4IWQvISk80xMSPPz0vOzdHUl3dwEqKgMRUieQoLxN/4CQhDy5TaKu6nnkA5uWU0g1t4y+vpyopxxmrc3ekgDqlohGxsZSeY07OAAIQhpsZksekhOm/1HTIMQM40IQYgZAbNyok/I6Ki0tFSlOjYmbW2ZUQ4oJ2oh9/fS7u7nq316kk5OAgiYDY1ayNSUNDvbSPThQTo9NSOdsZxohZyfS2dnza8yffd9fJyRgNmwaIUsLEiFwtc0Ly6k21sz2hnKiVJI+rH53V37q0sfi8T2ilLIzIw0Pd0e9ciItL3dfpzTCAshxWKxzGQ7I728hYSu302BFkJCP7HLW0jo+gipI4CQbm6Jb3zJYHGxWtDrq9Tf37zAlRVpdbV98SSkjlGvgfR6/VocVj1kZ2en/XbuwoiPdXv13WJbIV1gHTQlQt5xfdwyguh1YTBCENKwrax6SBc2fdCUJISEkJBWkSEhJISEkJAMbZVjbxUSp6yaDUMPoYfQQ+gh9JAMBOghTSHRQ+gh9JAoekjyK5EmpfX19aD7XaeDj/4cSX87nSW/37e5ZZWFFLJ/DScvBMXfRelfXrN1Pg9CENK8h5CQChcSQkJISDynLJo6tyxOWY15LT9+p6nT1MsESAgJafnukWMvx16OvRx7WxCgh9BD4uohnT8vDZxhWDztrUNWeR/y/s/wA3H+uOEOp6z/w6Pg8zcH/QYAAAAASUVORK5CYII='>"
642,4,3,FallAlt,obj1,308,333,3458,0,5,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAA1JJREFUeF7tnLEvLFEYxc8kGhRWJ6qHRCLyKgqFaGi1Ko1EQinxB7CFQvlKon7J616iUuhJRKIVtVqi0EhWZpdYu3Znxtz35lz5Tcfeufeb87vn++69ZiWNRqMhLhsFEoDYsGgGAhAvHgAx4wEQgLgpYBYPNQQgZgqYhYNDAGKmgFk4OAQgZgqYhYNDAGKmgFk4OAQgZgqYhYNDAGKmgFk4OAQgZgqYhYNDAGKmgFk4OAQgZgqYhYNDAGKmgFk4OAQgZgqYhYNDAGKmgFk4OAQgZgqYhYNDAGKmgFk4OAQgZgqYhYNDAGKmgFk4Fg5JkqQpS1VfCK56/PY5ET+Qw0Pp8rL1TDMz0sFB4TkPkA7JvizI9bWUAqnVpKcnaXBQ2tiQFhYKQfny+IVGydc4boekIFZXpaGh1tMeH0sjI9LDQ76nf20FkFAO2d5OC8/H3tKfUzAFLoCEApL2MzsrLS5Kj4/S1ZV0e1sARaspQEICKSx/9w0AAUjPaRR3UQ/gDlLWJyK2p4yBgUAq5+zm+Zka0iVVO5CtrZxKBmp2dAQQgPSZTBY1pOxkHxuTpqffezk7a23aY7y+BZDONHd+Lt3dxYjjG/xHueFhaX29W/zd3Y+uiQVP9A7ptQi4uZEuLmLB8B5n1EBGR6W1td6iLy/3/9wRV7RA0tP2nZ3+kt7fS6enjrL3jilaIFNT0spKttjp6iutJ7Fc0QKZn5fm5rJlHh+X9vay27m0AIgLidc4AAKQMApMTkoTE9l9LS2RsrJV6mhRr9ebv9mrKNlXPX67HBYpq+q/2FU9PkA6HAoQM0EAApCeddaqhuzv7xdeEIS44W3cqt4ttq0hIcQt0wdA3nanr2+/lxEzxL0AAUjXPLKqISFmeZk+cAgOwSH9HIRDcAgOwSE5quzb0UWOpv+0CSmLlEXKImXlSDKkrHeR2Bi2TRhqCDWEGkINoYbkUKCjhiQTifRT2tzcLHRz2cYnv0+kP2V7CXe/TQ1pAvnx/1/Dqf+qS3/DCVq2J4AA5POijkNauuAQHIJDolj2krJIWU0FWGV1+7V5loVDcAgO6VHMcIjjaS8pi5RFyiJlZZ90sVNnp95/p549hwK3qInT3g5JW6ssk68DBMZduDuHlPUC3dPY80DbzJsAAAAASUVORK5CYII='>"
642,4,4,FallAlt,obj1,308,334,3468,0,5,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAztJREFUeF7tnb9KI1EUxr8BG0UwtSDsgo2IlRYWdhZWNhY2VqKgDyEkKSwst1RsXdhuG30HUXwAW19AULERZpn8wTHJmIy5u/Pd5TedcufeM99vvnPOnUxIkqZpKg4bBRKA2LBoBQIQLx4AMeMBEIC4KWAWDzUEIGYKmIWDQwBipoBZODgEIGYKmIWDQwBipoBZODgEIGYKmIWDQwBipoBZODgEIGYKmIWDQwBipoBZODgEIGYKmIWDQwBipoBZODgEIGYKmIWDQwBipoBZODgEIGYKmIWDQwBipoBZODgEIGYKmIWDQwBipoBZOBYOSZKkJUtVXwiuev38PRE/kJMT6fq6fU0LC9Lxcel7HiA9kn1ZkLs7KQNSq0mvr9LkpLS7K62uloLy5fVLrTLa4LgdkoHY3JSmptpXe3YmzcxIj4+jXX1nFEBCOeTwMCs8H2fL/s7AlDgAEgpINs/iorS2Jj09Sbe30v19CRTtoQAJCaS0/P0nAAQghbdR3EU9gDtIWQNEzKeMiYlAKo84zdsbNaRPqjyQg4MRlQw07PQUIAD55GayqCHj3uzb29Ll5fssLy/jzljd+f8FkL09KV97Li6k5+fqRB1n5eiBzM9L6+v9EmS1IcYjeiBFTcDVlfTwEB+SqIFMT0s7O8WiHx1Jc3NxQYkayLAW+eZGyp7Qx3REC2SYO7oQtrakjY14kEQLZGVFWl4eLvTsrFSvDx/nMgIgLiQ6cQAEIGEUIGWF0XHgLM1ms/X/ekXJvur186JYpKyqP7Gren2A9PgUIGaCAAQghRXZqoY0Go2/2DoUT91dt6p3i21rSCU0cosCpLs77bz9DhCTnzzqFlWAAOTDPUDKImX1JQWrLouURcoiZQ1yAUX9XRVSFvuQfo/gEBwysH+g7aXtpe39rLXGITgEh+CQEbbfdFk9XVbyPZGWpP39/RHkCzfk/Oe59CvcfOPOZFNDWkC+/fvXcJo/mtLvcWUMdz5AADK4qOOQti44BIfgkCjaXlIWKaulAF3WgCffaZqmOASH4JCCYtb6xBCH4BAcgkOGP2JhY8jGkI1hVBvD4aYOPKImnvb2SNrusky+DhAYd+npHGrIH3Lb2PMkgI/8AAAAAElFTkSuQmCC'>"
642,4,5,FallAlt,obj2,312,337,3034,1,2,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAyNJREFUeF7tnLFKI1EYhc+ACFpoHmHXTmR7C0tbK7GwFAL6FkkKC7GyVAS7lcVmH8AXEMQH8ClEC0GELDNJMJvEYa65Zs4N33TCnf/+c7577rkZo1m32+2Ky0aBDCA2LIpGAOLFAyBmPAACEDcFzPohQwBipoBZOzgEIGYKmLWDQwBipoBZOzgEIGYKmLWDQwBipoBZOzgEIGYKmLWDQwBipoBZOzgEIGYKmLWDQwBipoBZOzgEIGYKmLWDQwBipoBZOzgEIGYKmLWDQwBipoBZOzgEIGYKmLWDQwBipoBZOzgEIGYKmLVj4ZAsywpZ6vqD4LrnH14T6QM5OZHu7nrPtL4uHR8Hr3mAjEj2ZUEeHqQcSKMhvb5KS0vSwYG0uRkE5cvzB81SbXDaDslB7OxIy8u9p724kFZXpaenak/fHwWQWA45OsqD5/9q+c85mIALILGA5HU2NqStLenlRbq/lx4fA1D0hgIkJpBg+cdvAAhAPl1GaYd6BHewZU0QcXjLWFiIpHLFMu/vZMiYVMNADg8rKhlp2Pk5QABSspgsMiTSYp+LMgAxw5g0kKp5k+dEKhdAzEgBBCDxFMjftC8ultd7e5OuruLN+d2VknbIzY10e1su0fa2tLf33TLGq580kFyGlRVpf3+yINfX0vNzPLFmUSl5ILlIk7au1LaqAey5ADJp60ptq5orIPnD7O5Ka2sfm8rp6Sw2mPhzWDik0+kUT9ZqteI/YYWKdc8/3KIFkLp/Y1f3/AAZcQ1AzAQBCEA+TTarDGm32xUiOP6Qwbx1fbfYNkPiSx1WESB9vQZ7eJh88UcDBCBjq8oqQ+Kv+bCKOASH4JAyz+AQHIJDcEiFXOXY+yESp6yhBUOGkCFkCBlChlRQgAyZKBIZQoaQIUlkSPYzk35JzWYzaL+bdvDl70vpz7RV4t1vs2UVQH7M/ms4nbOO9DeeoNNWAghAJmcIDunpgkNwCA5J55RFqLNlccoa92vx+p1QJ9QLBXAIDin97Mixl2Mvx16OvSUKkCFkSFoZMu3b0uD7G+Jt74hovc8h/X+GHyzonN3gcMr6Bw4M1vNGtRB5AAAAAElFTkSuQmCC'>"
642,5,1,BalanceUnder,obj3,331,248,6115,0,2,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAA4pJREFUeF7tnc9KYnEUx7+CEJTQJiHCaCHuWoTQMjRbKLTpHwUalBAJtZgnCO0t2rpvMW/QPEDteoZaBdMTOFyjqWEmPePvT9/0e5dyzvmd+/ncc/VeL5rq9Xo9aKMhkJIQGhf9RiSEy4eEkPmQEAlhI0DWj95DJISMAFk7mhAJISNA1o4mRELICJC1owmREDICZO1oQiSEjABZO5oQCSEjQNaOJkRCyAiQtaMJkRAyAmTtaEIkhIwAWTuaEAkhI0DWjiZEQsgIkLWjCZEQMgJk7WhCJISMAFk7mhAJISNA1o4mRELICJC1owmRkHAETk4G115cBNrtcOv7qDxWE9JqDUaysCAhPg4acw0JMaOKEyghcTibV5EQM6o4gRISh7N5FQkxo4oTKCFxOJtXSacHh15c6GOvGaYCXwiM1YXhOEiVEDKLEiIhZATI2tGESAgZAbJ2NCESQkaArB1NyKQKubwEHh7+3Pu7O+D2lozIJ7cTbUIkxGZaQmycokVJSDTUtoUkxMYpWlQUIcn7R+jto78UeH19fR0ol0N34V4/ipBh3+S578bwCl/hmaxo34e8f1owlfob3r9ee43qdN7Gq1wuoTziYV4qaUKGH7aGiNQ7W51OB232Z0EN+zQoJMopy6VHCXGhFyBXQgJAdSkpIS70AuRKSACoLiUlxIVegFwJCQDVpaSEuNALkDu5Qvb2gPt74PEReH4OgHa0kpMpZH4eWFkBlpaAmxvg6gqoVEYj6DlrMoUkd942NoDp6Rec29tAreYZrcpZCLzdOtndBebmgOtr4OnJkquYAATo72UF2GfqksnN8P6/Ra+uruLg4ACtVguZTIa66XFu7rcQy04uLy+j0Wjg+PgY88kHAW3eCfyXEMvq+XwezWYT+/v7KBQKlhTFvCPgXYiFbi6Xw+npKTY3N1EsFi0pExPzKUIsdLPZLM7Pz1GpVLC2tmZJGYsYWiEWurOzszg7O0OpVEK1WrWk0Md8aSEWujMzM/3TYzJl28kFL/k29kIs/KempnB4eNg/PdbrdUtKsBgJMaJNp9PY2dlBrVbrf4oMtUmIT7JbwNHR0UgVu90u8B2QkJHwfZC0BbS/jfYbgpfJ87Y/JMSnDkBC/PJ0riYhzgj9FpAQvzydq0mIM0K/BSTEL0/nahLijNBvAQnxy9O5moQ4I/RbQEL88nSutgXgp0MVXak7wAuU+gs++QQaBBPvlAAAAABJRU5ErkJggg=='>"
