PID,DATE,Q-KEY,PAGE,"QUESTION ID",QUESTION,ANSWER,VALUE
642,07-03-2022,QFP,1,1,day_dob,1,0
642,07-03-2022,QFP,1,1,month_dob,1,0
642,07-03-2022,QFP,1,1,year_dob,2012,0
642,07-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Primaire,0
642,07-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",test,0
642,07-03-2022,QFP,1,4,"independent dragging",Oui,0
642,07-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",test,0
642,07-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?","Préfère ne pas répondre",2
642,07-03-2022,SDQ,1,1,"ladder community",5,5
642,07-03-2022,SDQ,2,1,"ladder people in France",,0
642,07-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
642,07-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",,0
642,07-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)",,0
642,07-03-2022,SDQ,4,1,"Nombre de personnes",,0
642,07-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",,0
642,07-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",,0
642,07-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",,0
642,07-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
642,07-03-2022,SDQ,4,1,"Nombre de personnes",,0
642,07-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",,0
642,07-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",,0
642,07-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",,0
642,07-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
642,07-03-2022,VG,1,1,"A quelle fréquence joues-tu à des jeux vidéo ?",Jamais,4
642,07-03-2022,VG,1,2,"Comment évalues-tu ton niveau en jeux vidéo ?",Mauvais,4
642,07-03-2022,VG,1,3,"À quel genre de jeux vidéo joues-tu le plus souvent ? Cochez toutes les cases",Array,0
642,07-03-2022,VG,1,4,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",5,0
642,07-03-2022,VG,1,5,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",5,0
642,07-03-2022,VG,1,6,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",5,0
642,07-03-2022,VG,1,7,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",5,0
642,07-03-2022,VG,1,8,"Sur une échelle de 1 (pas du tout) à 10 (beaucoup) – est-ce que tu fais du.......",5,0
642,07-03-2022,VG,1,9,"Portes-tu des lunettes ou des lentilles de contact ?",Non,1
642,07-03-2022,VG,1,10,"Quel âge as-tu ?",8,0
642,07-03-2022,VG,1,11,"Dans quel pays habites-tu ?",test,0
642,07-03-2022,VG,1,12,Sexe,"Préfère ne pas dire",3
645,07-03-2022,QFP,1,1,day_dob,1,0
645,07-03-2022,QFP,1,1,month_dob,1,0
645,07-03-2022,QFP,1,1,year_dob,2011,0
645,07-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Primaire,0
645,07-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",test,0
645,07-03-2022,QFP,1,4,"independent dragging",Oui,0
645,07-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",test,0
645,07-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?","Préfère ne pas répondre",2
645,07-03-2022,SDQ,1,1,"ladder community",,0
645,07-03-2022,SDQ,2,1,"ladder people in France",,0
645,07-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
645,07-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",,0
645,07-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)",,0
645,07-03-2022,SDQ,4,1,"Nombre de personnes",,0
645,07-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",,0
645,07-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",,0
645,07-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",,0
645,07-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
646,08-03-2022,QFP,1,1,day_dob,1,0
646,08-03-2022,QFP,1,1,month_dob,1,0
646,08-03-2022,QFP,1,1,year_dob,2011,0
646,08-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Primaire,0
646,08-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",test,0
646,08-03-2022,QFP,1,4,"independent dragging",Oui,0
646,08-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",test,0
646,08-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Garçon,0
646,08-03-2022,SDQ,1,1,"ladder community",,0
646,08-03-2022,SDQ,2,1,"ladder people in France",,0
646,08-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
646,08-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",,0
646,08-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)",,0
646,08-03-2022,SDQ,4,1,"Nombre de personnes",,0
646,08-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",,0
646,08-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",,0
646,08-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",,0
646,08-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
649,09-03-2022,QFP,1,1,day_dob,1,0
649,09-03-2022,QFP,1,1,month_dob,1,0
649,09-03-2022,QFP,1,1,year_dob,2011,0
649,09-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Primaire,0
649,09-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",test,0
649,09-03-2022,QFP,1,4,"independent dragging",Oui,0
649,09-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",test,0
649,09-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Garçon,0
649,09-03-2022,SDQ,1,1,"ladder community",,0
649,09-03-2022,SDQ,2,1,"ladder people in France",,0
651,10-03-2022,QFP,1,1,day_dob,1,0
651,10-03-2022,QFP,1,1,month_dob,1,0
651,10-03-2022,QFP,1,1,year_dob,2011,0
651,10-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Primaire,0
651,10-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",test,0
651,10-03-2022,QFP,1,4,"independent dragging",Oui,0
651,10-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",test,0
651,10-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Garçon,0
